Opportunity No.,Reporting Status,Sales Outcome,Product,Industry,Region,Relative Strength in the segment,Profit of Customer in Million,Sales Value in Million,Profit %,WSES Proportion in Joint Bid,Leads Conversion Class
333,Won,1,Lifesys,Capital Markets,Other Europe,47,0.49,5.79,45,53,E
334,Lost,0,Procsys,Security,UK,76,0.83,6.9,50,56,V
335,Won,1,GTMSys,Security,UK,32,0.32,6.71,38,70,E
336,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.56,7.06,44,73,E
337,Won,1,Lifesys,Capital Markets,UK,27,0.75,6.78,51,71,V
338,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.34,7.16,55,69,V
339,Won,1,LearnSys,Energy,UK,42,0.76,8.37,45,60,V
340,Lost,0,Finsys,Consumer goods,UK,54,0.26,11.3,71,53,E
341,Lost,0,GTMSys,Airline,UK,56,1.26,10.78,49,60,V
342,Lost,0,GTMSys,Banks,Singapore,65,0.85,12.11,58,60,E
343,Lost,0,GTMSys,Banks,UK,61,1.39,9.55,58,58,E
344,Lost,0,GTMSys,Other Govt.,Other Europe,72,0.66,5.51,53,62,L
345,Lost,0,Logissys,Mobility,UK,35,1.71,10.55,46,60,E
346,Won,1,GTMSys,Banks,Africa,52,1.47,7.69,19,73,V
347,Lost,0,GTMSys,Defense,Americas,50,1.19,9.39,61,51,V
348,Lost,0,GTMSys,Finance,UK,55,1.89,5.69,59,59,E
349,Won,1,Lifesys,Others,Other Europe,64,0.04,7.38,41,73,E
350,Lost,0,GTMSys,Capital Markets,UK,48,1.5,10.53,56,63,V
351,Lost,0,Lifesys,Consumer goods,UK,46,1.04,9.29,57,76,V
352,Won,1,Logissys,Mobility,UK,35,0.99,8.31,47,52,V
353,Won,1,GTMSys,Others,UK,49,0.3,10.22,42,61,V
354,Won,1,GTMSys,Banks,Africa,52,0.59,8.07,57,63,L
355,Won,1,GTMSys,Capital Markets,UK,48,0.9,6.5,54,67,L
356,Lost,0,GTMSys,Capital Markets,UK,48,1.09,6.81,52,69,E
357,Won,1,LearnSys,Banks,Africa,45,0.66,7.33,44,54,V
358,Won,1,GTMSys,Security,UK,32,1.48,6.48,46,61,V
359,Lost,0,Finsys,Infrastructure,UK,62,1.25,8.71,55,57,E
360,Lost,0,GTMSys,Insurance,UK,58,1.14,7.83,58,69,F
361,Won,1,GTMSys,Insurance,UK,58,0.27,7.87,60,74,E
362,Lost,0,Finsys,Capital Markets,Other Europe,57,1.34,7.81,74,52,E
363,Won,1,Logissys,Govt.,UK,36,0.34,6.36,64,66,L
364,Won,1,Procsys,Consumer goods,UK,53,0.67,5.13,45,63,L
365,Won,1,GTMSys,Finance,UK,55,-0.05,9.7,45,60,V
366,Lost,0,GTMSys,Banks,Africa,52,1.2,8.65,65,51,E
367,Won,1,Procsys,Consumer goods,UK,53,1.21,7.46,33,54,E
368,Lost,0,GTMSys,Others,UK,49,1.82,8.32,42,52,L
369,Won,1,Procsys,Consumer goods,UK,53,0.37,5.42,37,75,F
370,Won,1,GTMSys,Others,UK,49,0.82,7.67,49,64,E
371,Won,1,Lifesys,Capital Markets,Other Europe,47,1.08,11.32,47,65,E
372,Lost,0,Procsys,Security,Americas,68,1.11,10.94,37,63,V
373,Won,1,LearnSys,Defense,UK,51,1.01,6.66,35,51,V
374,Lost,0,GTMSys,Defense,Other Europe,30,1.22,6.14,70,63,V
375,Won,1,GTMSys,Others,Africa,39,0.86,7.33,56,60,V
376,Lost,0,GTMSys,Others,Americas,38,1.45,7.12,62,45,V
377,Lost,0,GTMSys,Others,UK,49,1.05,6.66,53,64,E
378,Won,1,GTMSys,Others,UK,49,0.69,7.73,50,61,V
379,Lost,0,GTMSys,Defense,Americas,50,1.07,7.82,57,53,V
380,Won,1,GTMSys,Banks,Americas,43,0.42,9,51,61,F
381,Won,1,LearnSys,Banks,Africa,45,1.39,9.43,36,64,V
382,Won,1,GTMSys,Banks,Africa,52,0.55,10.11,62,78,E
383,Lost,0,GTMSys,Others,Other Europe,69,0.89,10.12,56,46,L
384,Lost,0,Lifesys,Others,Other Europe,64,1.66,7.74,44,56,E
385,Won,1,GTMSys,Banks,Americas,43,0.36,9.2,45,54,E
386,Won,1,GTMSys,Airline,UK,56,0.92,10.5,41,75,E
387,Lost,0,LearnSys,Banks,Africa,45,2.46,4.02,49,51,V
388,Won,1,GTMSys,Finance,UK,55,0.48,6.44,50,70,E
389,Lost,0,GTMSys,Finance,UK,55,1.41,9.39,53,64,E
390,Won,1,GTMSys,Others,Africa,39,1.33,5.43,53,71,E
391,Lost,0,GTMSys,Banks,Americas,43,1.58,9.83,45,57,V
392,Lost,0,GTMSys,Capital Markets,UK,48,1.72,7.92,45,52,L
393,Won,1,GTMSys,Capital Markets,UK,48,1.01,9.35,44,72,V
394,Lost,0,Procsys,Energy,UK,34,1.35,7.21,61,47,F
395,Won,1,LearnSys,Capital Markets,UK,40,0.03,8.45,45,64,V
396,Won,1,LearnSys,Banks,Africa,45,0.99,9.56,42,50,E
397,Lost,0,Finsys,Consumer goods,UK,54,1.61,8.34,39,66,E
398,Lost,0,Finsys,Infrastructure,UK,62,1.56,9.39,53,63,V
399,Won,1,Logissys,Govt.,UK,36,1.45,7.69,46,69,E
400,Lost,0,GTMSys,Finance,UK,55,1.01,8.17,61,61,V
401,Won,1,GTMSys,Defense,Africa,25,0.31,4.33,38,71,V
402,Lost,0,Finsys,Consumer goods,UK,54,1.35,7.98,56,100,V
403,Lost,0,GTMSys,Insurance,UK,58,0.72,9.65,52,52,E
404,Won,1,Finsys,Capital Markets,Other Europe,57,0.54,8.36,47,54,V
405,Won,1,Lifesys,Consumer goods,UK,46,1.31,6.79,36,51,V
406,Won,1,GTMSys,Banks,Americas,43,1.01,9.4,46,69,L
407,Lost,0,GTMSys,Finance,UK,55,1.13,12.04,69,60,V
408,Won,1,GTMSys,Defense,Americas,50,0.76,9.43,58,55,E
409,Lost,0,GTMSys,Banks,Singapore,65,1.1,7.43,54,100,V
410,Won,1,LearnSys,Capital Markets,UK,40,0.73,9.37,59,60,L
411,Won,1,GTMSys,Capital Markets,UK,48,1.48,9.37,37,64,E
412,Lost,0,Finsys,Capital Markets,Other Europe,57,0.86,5.94,62,56,V
413,Lost,0,Finsys,Consumer goods,UK,54,1.35,9.97,55,70,F
414,Lost,0,LearnSys,Banks,Africa,45,1.43,6.99,62,63,E
415,Won,1,Finsys,Capital Markets,Other Europe,57,0.78,5.15,47,56,E
416,Lost,0,GTMSys,Airline,UK,56,1.11,6.62,66,41,E
417,Lost,0,Finsys,Consumer goods,UK,54,1.02,7.96,46,43,E
418,Won,1,Lifesys,Consumer goods,UK,46,1.06,10,41,53,V
419,Won,1,GTMSys,Capital Markets,Other Europe,41,-0.56,8.01,38,69,E
420,Lost,0,GTMSys,Others,UK,49,0.93,8.23,59,56,V
421,Won,1,GTMSys,Others,UK,49,0.73,10.32,50,75,L
422,Won,1,GTMSys,Finance,UK,55,1.16,10.91,44,73,E
423,Lost,0,Finsys,Capital Markets,Other Europe,57,1.18,10.07,40,62,V
424,Lost,0,GTMSys,Insurance,UK,58,1.09,6.58,52,63,F
425,Lost,0,Lifesys,Consumer goods,UK,46,1.54,8.6,43,57,V
426,Lost,0,Logissys,Govt.,UK,36,1.15,8.61,53,50,V
427,Lost,0,Finsys,Capital Markets,Other Europe,57,1.38,6.11,35,51,V
428,Won,1,GTMSys,Banks,Africa,52,1.18,8.82,33,39,E
429,Lost,0,GTMSys,Banks,Africa,52,1.19,7.99,65,69,E
430,Won,1,GTMSys,Banks,Africa,52,1.05,5.81,27,62,E
431,Won,1,LearnSys,Defense,UK,51,0.92,5.68,38,47,E
432,Won,1,GTMSys,Finance,UK,55,0.05,10.01,48,67,L
433,Won,1,GTMSys,Others,Americas,38,1.42,7.42,44,100,E
434,Won,1,LearnSys,Defense,UK,51,0.42,7.25,23,67,V
435,Won,1,Logissys,Govt.,UK,36,0.88,9.39,52,69,L
436,Lost,0,ContactSys,Banks,UK,59,1.16,10.88,46,62,V
437,Won,1,GTMSys,Others,Americas,38,0.48,7.16,21,61,E
438,Lost,0,GTMSys,Finance,UK,55,1.48,7.59,53,55,E
439,Won,1,GTMSys,Defense,Americas,50,0.32,6.83,58,63,E
440,Lost,0,GTMSys,Defense,Americas,50,0.96,6.42,63,77,L
441,Lost,0,Procsys,Security,Americas,68,1.39,6.7,49,69,E
442,Won,1,GTMSys,Banks,Africa,52,1.22,8.43,56,100,V
443,Lost,0,LearnSys,Defense,UK,51,1.58,5.62,62,79,V
444,Lost,0,GTMSys,Agriculture,Other Europe,26,1.61,7.45,54,67,V
445,Won,1,GTMSys,Insurance,UK,58,0.42,8.67,54,68,E
446,Lost,0,Procsys,Security,India,44,1.42,10.12,68,51,E
447,Lost,0,Procsys,Capital Markets,UK,71,0.96,7.82,46,44,V
448,Lost,0,Procsys,Capital Markets,UK,71,0.89,7.68,42,69,V
449,Lost,0,Finsys,Consumer goods,UK,54,1.44,6.76,61,59,V
450,Won,1,GTMSys,Banks,Americas,43,0.66,9.66,43,61,E
451,Lost,0,GTMSys,Insurance,UK,58,1.79,8.03,45,50,V
452,Lost,0,GTMSys,Finance,UK,55,0.92,7.89,60,53,E
453,Lost,0,Lifesys,Others,Other Europe,64,0.65,7.57,50,49,E
454,Won,1,Procsys,Consumer goods,UK,53,0.88,9.35,50,70,L
455,Won,1,Procsys,Security,India,44,0.86,5.7,51,61,E
456,Won,1,Finsys,Capital Markets,Other Europe,57,0.51,8.34,32,40,V
457,Won,1,Procsys,Security,India,44,0.71,11.01,60,73,V
458,Won,1,GTMSys,Capital Markets,UK,48,0.25,9.51,38,45,E
459,Lost,0,Finsys,Capital Markets,Other Europe,57,1.66,7.77,66,72,E
460,Won,1,GTMSys,Banks,Americas,43,0.99,8.73,47,62,V
461,Won,1,GTMSys,Others,UK,49,0.82,9.13,36,50,V
462,Won,1,GTMSys,Security,UK,32,0.85,8.26,61,56,V
463,Won,1,LearnSys,Banks,Africa,45,0.59,6.74,68,71,V
464,Won,1,GTMSys,Others,Americas,38,0.95,7.53,40,56,L
465,Won,1,Lifesys,Capital Markets,Other Europe,47,1.09,10.25,39,51,L
466,Lost,0,ContactSys,Banks,UK,59,1.01,3.44,55,50,E
467,Lost,0,GTMSys,Airline,UK,56,1.09,8.33,48,67,V
468,Won,1,Procsys,Other Govt.,Japan,33,0.78,10.71,42,100,V
469,Won,1,Procsys,Consumer goods,UK,53,0.72,10.09,31,57,E
470,Lost,0,GTMSys,Insurance,UK,58,1.49,4.87,51,75,F
471,Won,1,Lifesys,Capital Markets,Other Europe,47,0.34,11,67,43,E
472,Lost,0,GTMSys,Others,Other Europe,69,0.81,7.61,46,68,E
473,Won,1,GTMSys,Others,UK,49,1,9.8,48,54,L
474,Won,1,GTMSys,Finance,UK,55,0.48,7.54,46,68,L
475,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.26,9.79,55,41,V
476,Won,1,Lifesys,Capital Markets,UK,27,0.56,6.66,44,59,E
477,Won,1,GTMSys,Others,Africa,39,0.59,9.75,59,51,E
478,Lost,0,Finsys,Infrastructure,UK,62,2.11,8.51,44,62,L
479,Won,1,GTMSys,Capital Markets,UK,48,0.83,4.31,40,78,V
480,Won,1,Lifesys,Consumer goods,UK,46,0.65,8.55,45,49,E
481,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.84,8.98,60,54,V
482,Lost,0,GTMSys,Capital Markets,Other Europe,41,2.6,10.5,58,64,V
483,Won,1,Finsys,Capital Markets,UK,60,0.55,7.35,40,59,V
484,Lost,0,ContactSys,Banks,UK,59,1.36,5.83,55,71,E
485,Won,1,GTMSys,Banks,Singapore,65,0.77,8.52,48,62,V
486,Lost,0,GTMSys,Banks,Africa,52,1.25,10.34,58,73,F
487,Won,1,Lifesys,Consumer goods,UK,46,0.01,9.42,46,60,E
488,Won,1,GTMSys,Capital Markets,UK,48,0.26,8.14,62,51,L
489,Won,1,GTMSys,Banks,Singapore,65,0.47,4.56,49,56,V
490,Won,1,LearnSys,Capital Markets,UK,40,-0.15,11.06,36,55,E
491,Won,1,LearnSys,Energy,UK,42,0.35,8.33,46,64,V
492,Lost,0,Lifesys,Consumer goods,UK,46,1.26,4.56,58,56,V
493,Lost,0,GTMSys,Airline,UK,56,1.56,8.02,39,71,V
494,Lost,0,Lifesys,Others,Other Europe,64,1.48,7.46,52,54,V
495,Lost,0,Procsys,Consumer goods,UK,53,1.73,8.44,39,48,L
496,Won,1,LearnSys,Banks,Africa,45,0.95,8.5,45,67,V
497,Won,1,Procsys,Security,India,44,-0.06,11.1,52,62,L
498,Lost,0,GTMSys,Banks,Singapore,65,1.13,10.59,49,66,V
499,Won,1,Procsys,Other Govt.,Japan,33,0.5,6.16,46,40,E
500,Won,1,Procsys,Infrastructure,UK,37,1.56,6.04,35,71,E
501,Won,1,LearnSys,Energy,UK,42,0.88,5.55,50,59,V
502,Lost,0,GTMSys,Telecom equipments,Spain,66,0.95,7.46,38,57,V
503,Won,1,GTMSys,Security,UK,32,0.94,9.49,45,59,E
504,Lost,0,GTMSys,Defense,Japan,63,1.34,6.53,43,68,E
505,Lost,0,GTMSys,Defense,Americas,50,1.29,7.44,55,60,F
506,Won,1,Finsys,Capital Markets,UK,60,0.12,11.07,43,42,V
507,Won,1,GTMSys,Others,Other Europe,69,0.57,1.64,43,49,V
508,Lost,0,Finsys,Infrastructure,UK,62,0.73,5.81,57,67,E
509,Won,1,Logissys,Mobility,UK,35,0.82,6,46,60,E
510,Won,1,GTMSys,Others,Americas,38,0.42,7.94,45,50,L
511,Lost,0,Finsys,Capital Markets,UK,60,0.92,10.97,61,58,E
512,Won,1,GTMSys,Defense,Americas,50,1.16,9.49,45,78,L
513,Lost,0,GTMSys,Defense,Americas,50,0.92,7.75,60,48,E
514,Won,1,GTMSys,Security,UK,32,0.27,7.96,55,75,V
515,Lost,0,Finsys,Capital Markets,UK,60,1.2,5.95,44,75,E
516,Won,1,GTMSys,Banks,Africa,52,0.9,5.53,46,60,E
517,Lost,0,GTMSys,Airline,UK,56,1.01,5.71,58,41,V
518,Won,1,ContactSys,Banks,UK,59,0.74,9.6,45,54,V
519,Lost,0,Finsys,Consumer goods,UK,54,1.64,5.49,53,63,V
520,Won,1,GTMSys,Others,Africa,39,1.51,8.72,35,48,E
521,Won,1,Procsys,Infrastructure,UK,37,-0.06,6.19,47,58,V
522,Won,1,Logissys,Mobility,UK,35,1.22,8.94,50,57,V
523,Won,1,Finsys,Consumer goods,UK,54,1.27,5.72,27,100,L
524,Lost,0,LearnSys,Defense,UK,51,1.82,9.63,69,75,L
525,Won,1,Procsys,Security,India,44,1.09,6.5,49,62,V
526,Won,1,GTMSys,Banks,Africa,52,0.26,7.46,51,65,V
527,Lost,0,GTMSys,Telecom equipments,Spain,66,0.99,9.99,40,57,E
528,Lost,0,Procsys,Security,Americas,68,1.16,9.05,49,55,L
529,Lost,0,LearnSys,Banks,Africa,45,1.58,7.2,54,61,L
530,Won,1,GTMSys,Defense,Other Europe,30,1.01,6.39,53,44,V
531,Won,1,Finsys,Consumer goods,UK,54,0.11,7.7,59,61,E
532,Lost,0,ContactSys,Banks,UK,59,1.08,6.18,47,50,F
533,Won,1,GTMSys,Airline,UK,56,0.59,6.97,47,54,E
534,Lost,0,GTMSys,Others,UK,49,0.96,10.16,57,56,E
535,Lost,0,Finsys,Capital Markets,UK,60,0.79,6.09,57,59,V
536,Lost,0,GTMSys,Others,Other Europe,69,0.92,9.37,50,56,V
537,Won,1,LearnSys,Capital Markets,UK,40,1.19,8.48,30,74,V
538,Won,1,GTMSys,Others,Africa,39,0.65,5.09,61,56,V
539,Lost,0,Lifesys,Consumer goods,UK,46,1.26,7.22,69,67,V
540,Lost,0,GTMSys,Banks,Americas,43,1.81,9.98,43,66,E
541,Won,1,Lifesys,Consumer goods,UK,46,0.66,10.66,36,47,V
542,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.49,7.34,58,75,V
543,Won,1,LearnSys,Energy,UK,42,0.9,3.8,49,70,F
544,Won,1,GTMSys,Capital Markets,Other Europe,41,1.04,7.91,47,52,F
545,Won,1,GTMSys,Defense,Africa,25,0.54,7.89,69,72,E
546,Won,1,Logissys,Mobility,UK,35,0.61,9.24,34,48,L
547,Lost,0,GTMSys,Defense,Americas,50,1.31,12.28,46,54,E
548,Won,1,GTMSys,Capital Markets,UK,48,1.21,10.62,36,63,E
549,Lost,0,GTMSys,Capital Markets,UK,48,1.06,10.51,53,68,E
550,Won,1,Finsys,Consumer goods,UK,54,1.53,6.04,32,73,V
551,Won,1,LearnSys,Capital Markets,UK,40,0.89,8.99,57,53,E
552,Lost,0,GTMSys,Banks,UK,61,0.89,12.98,62,100,E
553,Won,1,Procsys,Consumer goods,UK,53,1.08,9.28,46,73,E
554,Won,1,GTMSys,Defense,Americas,50,1.07,7.04,36,62,V
555,Lost,0,Lifesys,Others,Other Europe,64,1.51,6.24,49,43,L
556,Lost,0,LearnSys,Energy,UK,42,1.56,8.14,66,54,V
557,Won,1,Lifesys,Consumer goods,UK,46,-0.15,12.51,39,50,F
558,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.28,7.62,55,53,V
559,Lost,0,LearnSys,Energy,UK,42,1.33,5.46,45,51,E
560,Won,1,GTMSys,Banks,Americas,43,0.59,7.98,45,63,E
561,Lost,0,Lifesys,Consumer goods,UK,46,1.33,3.38,56,66,V
562,Lost,0,GTMSys,Capital Markets,UK,48,1.58,3.88,57,42,E
563,Lost,0,Logissys,Govt.,UK,36,1.85,7.1,68,46,V
564,Lost,0,Finsys,Capital Markets,Other Europe,57,1.13,7.06,78,71,V
565,Lost,0,Finsys,Capital Markets,UK,60,0.49,8.46,66,78,V
566,Lost,0,GTMSys,Other Govt.,Other Europe,72,1.12,10.88,52,62,E
567,Lost,0,Procsys,Security,UK,76,0.62,10.94,50,61,V
568,Won,1,Lifesys,Consumer goods,UK,46,1.05,11.2,45,56,V
569,Lost,0,ContactSys,Banks,UK,59,1.9,7.05,40,100,L
570,Lost,0,Procsys,Security,India,44,1.28,10.81,56,62,V
571,Lost,0,Procsys,Energy,UK,34,1.3,13.26,62,69,E
572,Won,1,GTMSys,Insurance,UK,58,0.09,9.27,61,53,V
573,Lost,0,LearnSys,Banks,Africa,45,1.2,8.64,53,67,L
574,Won,1,GTMSys,Others,Americas,38,0.34,8.84,52,61,E
575,Won,1,GTMSys,Security,UK,32,0.5,9.34,34,70,V
576,Lost,0,GTMSys,Telecom equipments,Spain,66,0.67,6.89,51,49,F
577,Lost,0,Procsys,Consumer goods,UK,53,2.31,8.86,58,40,E
578,Won,1,GTMSys,Capital Markets,Other Europe,41,0.89,7.04,48,29,E
579,Won,1,Lifesys,Consumer goods,UK,46,1.02,8.4,45,100,E
580,Won,1,Finsys,Consumer goods,UK,54,0.76,8.05,31,73,E
581,Lost,0,Finsys,Consumer goods,UK,54,1.71,9.41,44,58,V
582,Won,1,GTMSys,Defense,Other Europe,30,0.14,6.43,54,54,E
583,Won,1,Lifesys,Others,Other Europe,64,0.05,4.58,66,70,V
584,Won,1,GTMSys,Insurance,UK,58,0.62,10.28,40,55,L
585,Lost,0,LearnSys,Banks,Africa,45,1.75,7.38,60,100,E
586,Won,1,GTMSys,Banks,Africa,52,0.95,8.46,47,65,V
587,Lost,0,LearnSys,Defense,UK,51,1.15,9.34,55,55,F
588,Won,1,Procsys,Consumer goods,UK,53,0.53,11.02,58,62,E
589,Lost,0,GTMSys,Airline,UK,56,1.52,8.28,57,49,V
590,Won,1,GTMSys,Others,UK,49,0.33,7.14,62,63,V
591,Won,1,GTMSys,Others,UK,49,0.67,8.3,43,49,E
592,Won,1,GTMSys,Banks,UK,61,0.48,4.69,50,64,E
593,Lost,0,LearnSys,Banks,Africa,45,1.09,10.03,64,35,E
594,Won,1,LearnSys,Capital Markets,UK,40,0.99,9.7,38,77,E
595,Won,1,GTMSys,Insurance,UK,58,0.44,9.15,35,46,L
596,Won,1,Logissys,Mobility,UK,35,1.08,7.35,34,61,E
597,Lost,0,GTMSys,Capital Markets,UK,48,1.13,7.63,51,61,V
598,Won,1,LearnSys,Energy,UK,42,1.11,8.46,39,40,L
599,Lost,0,LearnSys,Defense,UK,51,0.65,9.01,73,48,V
600,Lost,0,GTMSys,Insurance,UK,58,1.03,5.81,44,49,E
601,Lost,0,GTMSys,Airline,UK,56,1.38,6.35,53,57,E
602,Lost,0,GTMSys,Others,UK,49,1.22,6.27,58,69,E
603,Won,1,GTMSys,Airline,UK,56,0.71,10.89,52,55,L
604,Lost,0,GTMSys,Defense,Americas,50,1.77,10,45,62,E
605,Won,1,Lifesys,Capital Markets,Other Europe,47,0.77,11.07,24,35,V
606,Lost,0,Procsys,Infrastructure,UK,37,1.86,8.25,55,46,V
607,Lost,0,LearnSys,Energy,UK,42,1.11,11.09,52,57,V
608,Lost,0,Finsys,Capital Markets,Other Europe,57,1.13,10.5,43,47,E
609,Won,1,LearnSys,Banks,Africa,45,0.25,6.11,69,67,E
610,Won,1,LearnSys,Capital Markets,UK,40,0.65,7.42,43,57,V
611,Won,1,Procsys,Consumer goods,UK,53,0.85,11.27,35,70,V
612,Won,1,LearnSys,Energy,UK,42,0.89,9.89,37,67,V
613,Won,1,GTMSys,Others,UK,49,-0.07,2.4,58,67,E
614,Lost,0,GTMSys,Banks,Africa,52,1.43,8.62,43,59,V
615,Won,1,Procsys,Security,India,44,0.46,14.23,54,55,E
616,Won,1,GTMSys,Insurance,UK,58,0.65,10.36,38,59,E
617,Lost,0,GTMSys,Insurance,UK,58,1.74,5.94,42,57,L
618,Lost,0,Procsys,Consumer goods,UK,53,1.34,7.04,50,66,E
619,Lost,0,GTMSys,Banks,Singapore,65,0.85,7.66,52,68,V
620,Won,1,GTMSys,Banks,UK,61,0.32,5.38,56,62,V
621,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.3,7.26,49,57,E
622,Lost,0,GTMSys,Health,UK,67,0.95,7.62,55,67,E
623,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.56,9.29,50,56,V
624,Lost,0,GTMSys,Defense,Americas,50,1.5,7.35,61,70,V
625,Lost,0,GTMSys,Insurance,UK,58,0.56,7.67,64,69,V
626,Lost,0,GTMSys,Airline,UK,56,0.8,5.95,68,63,V
627,Won,1,GTMSys,Banks,Africa,52,0.75,11.11,46,60,L
628,Lost,0,Procsys,Security,India,44,1.43,5.32,52,50,L
629,Lost,0,Finsys,Consumer goods,UK,54,1.7,9.44,67,56,E
630,Lost,0,Finsys,Capital Markets,Other Europe,57,1.56,6.91,42,56,V
631,Lost,0,Lifesys,Consumer goods,UK,46,1.28,8.06,55,52,V
632,Lost,0,GTMSys,Telecom equipments,Spain,66,1.31,10.59,49,68,E
633,Won,1,GTMSys,Others,Africa,39,1.31,8.63,46,58,F
634,Lost,0,Finsys,Infrastructure,UK,62,2.11,7.96,37,70,E
635,Lost,0,GTMSys,Banks,UK,61,1.6,7.82,62,56,E
636,Lost,0,GTMSys,Defense,Americas,50,0.97,8.22,62,54,L
637,Lost,0,GTMSys,Others,Americas,38,1.96,7.69,50,61,L
638,Won,1,Logissys,Mobility,UK,35,0.9,10.55,57,67,V
639,Won,1,GTMSys,Defense,Africa,25,-0.1,7.28,54,45,E
640,Lost,0,Logissys,Govt.,UK,36,1.35,10.2,57,44,E
641,Lost,0,Lifesys,Others,Other Europe,64,1.67,8.33,52,54,L
642,Lost,0,GTMSys,Banks,Singapore,65,0.53,5.42,64,62,V
643,Won,1,Procsys,Security,India,44,0.85,6.8,54,55,E
644,Won,1,GTMSys,Capital Markets,UK,48,0.06,5.16,46,100,V
645,Won,1,Lifesys,Capital Markets,Other Europe,47,1.1,6.89,37,72,V
646,Lost,0,Finsys,Consumer goods,UK,54,0.62,8.61,61,67,V
647,Won,1,Finsys,Capital Markets,Other Europe,57,0.33,8.28,49,55,E
648,Lost,0,LearnSys,Defense,UK,51,1.72,8,50,66,V
649,Won,1,GTMSys,Defense,Japan,63,0.42,11,57,63,F
650,Won,1,GTMSys,Defense,Other Europe,30,0.23,7.3,44,67,E
651,Lost,0,GTMSys,Defense,Americas,50,1.02,10.05,59,66,L
652,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.13,5.63,52,56,V
653,Lost,0,GTMSys,Banks,UK,61,1.01,10.21,54,37,E
654,Lost,0,ContactSys,Banks,UK,59,1.22,10.19,45,70,V
655,Lost,0,Finsys,Capital Markets,Other Europe,57,2.11,10.97,45,49,V
656,Won,1,Procsys,Security,India,44,0.17,7.2,72,57,V
657,Won,1,Finsys,Capital Markets,Other Europe,57,0.27,5.84,62,50,V
658,Won,1,Procsys,Infrastructure,UK,37,0.53,9.47,54,44,L
659,Lost,0,GTMSys,Capital Markets,UK,48,1.58,7.17,47,64,V
660,Won,1,GTMSys,Defense,Americas,50,1.1,9.27,42,63,L
661,Won,1,GTMSys,Others,Africa,39,0.69,10.5,63,67,V
662,Won,1,GTMSys,Telecom equipments,Spain,66,0.55,7.76,55,65,E
663,Lost,0,Procsys,Consumer goods,UK,53,1.63,8.2,48,100,E
664,Lost,0,GTMSys,Defense,Japan,63,1.14,10.42,48,58,V
665,Lost,0,Lifesys,Others,Other Europe,64,1.56,5.79,45,62,V
666,Lost,0,GTMSys,Banks,Africa,52,1.26,5.67,53,56,E
667,Won,1,Logissys,Govt.,UK,36,0.82,8.51,61,76,E
